date,Fear,Joy,Sadness,Surprise
2021_04_05,0.476,0.332,0.09,0.102
2021_04_06,0.472,0.318,0.11,0.1
2021_04_07,0.448,0.37,0.104,0.078
2021_04_08,0.426,0.37,0.108,0.096
2021_04_09,0.438,0.334,0.1,0.128
2021_04_10,0.47,0.298,0.146,0.086
2021_04_11,0.482,0.314,0.106,0.098
2021_04_12,0.446,0.362,0.1,0.092
2021_04_13,0.524,0.284,0.118,0.074
2021_04_14,0.458,0.302,0.118,0.122
2021_04_15,0.46,0.318,0.12,0.102
2021_04_16,0.494,0.31,0.098,0.098
2021_04_17,0.44,0.32,0.126,0.114
2021_04_18,0.514,0.284,0.104,0.098
2021_04_19,0.446,0.326,0.122,0.106
2021_04_20,0.438,0.32,0.116,0.126
2021_04_21,0.462,0.39,0.058,0.09
2021_04_22,0.454,0.312,0.114,0.12
2021_04_23,0.52,0.296,0.088,0.096
2021_04_24,0.486,0.288,0.118,0.108
2021_04_25,0.564,0.244,0.084,0.108
2021_04_26,0.52,0.268,0.112,0.1
2021_04_27,0.594,0.2,0.11,0.096
2021_04_28,0.506,0.27,0.12,0.104
2021_04_29,0.46,0.314,0.11,0.116
2021_04_30,0.454,0.308,0.126,0.112
2021_05_01,0.506,0.28,0.132,0.082
2021_05_02,0.508,0.242,0.146,0.104
2021_05_03,0.538,0.252,0.102,0.108
2021_05_04,0.514,0.282,0.112,0.092
2021_05_05,0.47,0.288,0.136,0.106
2021_05_06,0.474,0.306,0.124,0.096
2021_05_07,0.49,0.274,0.114,0.122
2021_05_08,0.53,0.224,0.118,0.128
2021_05_09,0.496,0.266,0.136,0.102
2021_05_10,0.492,0.296,0.118,0.094
2021_05_11,0.516,0.26,0.116,0.108
2021_05_12,0.488,0.27,0.13,0.112
2021_05_13,0.682,0.146,0.078,0.094
2021_05_14,0.614,0.178,0.086,0.122
2021_05_15,0.566,0.224,0.092,0.118
2021_05_16,0.614,0.204,0.096,0.086
2021_05_17,0.6,0.228,0.09,0.082
2021_05_18,0.544,0.268,0.098,0.09
2021_05_19,0.53,0.282,0.094,0.094
2021_05_20,0.52,0.232,0.126,0.122
2021_05_21,0.452,0.28,0.126,0.142
2021_05_22,0.512,0.264,0.116,0.108
2021_05_23,0.494,0.224,0.146,0.136
2021_05_24,0.522,0.224,0.134,0.12
2021_05_25,0.5,0.274,0.102,0.124
2021_05_26,0.504,0.246,0.124,0.126
2021_05_27,0.508,0.244,0.124,0.124
2021_05_28,0.52,0.268,0.104,0.108
2021_05_29,0.506,0.262,0.114,0.118
2021_05_30,0.49,0.244,0.15,0.116
2021_05_31,0.572,0.236,0.118,0.074
2021_06_01,0.518,0.25,0.122,0.11
2021_06_02,0.502,0.256,0.124,0.118
2021_06_03,0.524,0.24,0.118,0.118
2021_06_04,0.524,0.228,0.118,0.13
2021_06_05,0.534,0.164,0.13,0.172
2021_06_06,0.52,0.254,0.118,0.108
2021_06_07,0.528,0.232,0.124,0.116
2021_06_08,0.512,0.242,0.122,0.124
2021_06_09,0.54,0.212,0.126,0.122
2021_06_10,0.542,0.242,0.122,0.094
2021_06_11,0.496,0.28,0.126,0.098
2021_06_12,0.522,0.256,0.124,0.098
2021_06_13,0.598,0.186,0.12,0.096
2021_06_14,0.512,0.264,0.124,0.1
2021_06_15,0.544,0.238,0.12,0.098
2021_06_16,0.572,0.194,0.136,0.098
2021_06_17,0.52,0.262,0.102,0.116
2021_06_18,0.566,0.19,0.152,0.092
2021_06_19,0.548,0.226,0.116,0.11
2021_06_20,0.456,0.24,0.176,0.128
2021_06_21,0.546,0.222,0.12,0.112
2021_06_22,0.52,0.22,0.14,0.12
2021_06_23,0.572,0.226,0.108,0.094
2021_06_24,0.542,0.224,0.12,0.114
2021_06_25,0.494,0.252,0.15,0.104
2021_06_26,0.526,0.202,0.15,0.122
2021_06_27,0.572,0.21,0.152,0.066
2021_06_28,0.576,0.202,0.128,0.094
2021_06_29,0.58,0.218,0.114,0.088
2021_06_30,0.502,0.258,0.136,0.104
2021_07_01,0.49,0.28,0.162,0.068
2021_07_02,0.536,0.24,0.104,0.12
2021_07_03,0.564,0.196,0.134,0.106
2021_07_04,0.58,0.208,0.122,0.09
2021_07_05,0.64,0.154,0.104,0.102
2021_07_06,0.604,0.172,0.122,0.102
2021_07_07,0.534,0.214,0.14,0.112
2021_07_08,0.582,0.21,0.104,0.104
2021_07_09,0.564,0.254,0.094,0.088
2021_07_10,0.594,0.186,0.124,0.096
2021_07_11,0.582,0.176,0.144,0.098
